subgroup_variable,min_recall_30d,max_recall_30d,recall_range,min_false_negative_rate,max_false_negative_rate,false_negative_rate_range,min_pr_auc,max_pr_auc,pr_auc_range
Admission source,0.44025157232704404,0.5488837567359507,0.10863218440890665,0.45111624326404925,0.559748427672956,0.1086321844089067,0.1975177352075344,0.24819237255970178,0.05067463735216737
Age group,0.4878048780487805,0.5232323232323233,0.035427445183542794,0.4767676767676768,0.5121951219512195,0.03542744518354274,0.17236327968605383,0.25370354937372913,0.0813402696876753
Race group,0.4580152671755725,0.5529953917050692,0.09498012452949667,0.4470046082949309,0.5419847328244275,0.09498012452949661,0.1844293820807882,0.20576517723129123,0.021335795150503017
