model,delta_pr_auc,delta_recall_30d,delta_f1_30d
MLP,0.0023145569035535607,0.003080985915492958,0.005962873479253077
Naive Bayes,0.0018893346353811014,0.0022007042253521128,0.004369470650161654
Linear SVM,0.0008869484183941512,0.00044014084507049134,0.003459971180147181
Logistic Regression,0.0003510696694588866,0.0004401408450703803,0.002721403710972292
Random Forest,-0.0012664487833191629,-0.01804577464788726,4.1227790190445646e-05
Decision Tree,-0.0076422050072179615,-0.05061619718309862,-0.0030065553646649312
