model,delta_pr_auc,delta_recall_30d,delta_f1_30d
MLP,0.008670484301050996,0.008362676056338027,0.016201436591624742
Linear SVM,0.0009737679419771494,0.007042253521126751,0.0011393742591664924
Logistic Regression,0.0007025458618792613,0.009683098591549255,0.001688481088701732
Naive Bayes,-0.0008721466297948732,0.0022007042253521128,0.004364115253624627
Random Forest,-0.0027332940013867213,-0.02420774647887325,-0.0051779447763017905
Decision Tree,-0.007080473395032538,0.005721830985915499,-0.005271003266425711
